"ID","ID","Name","Time","Latitude","Longitude"
"1","1","YMCA - serving Schwanís Corporate Office, ","0","44.443726","-95.786866"
"2","2","CITY HALL - serving 3rd & Main Street Businesses, Adult Center,","5","44.448423","-95.791192"
"3","3","COURTHOUSE - serving Law Enforcement Center, Turkey Valley Farms ","7","44.450572"," -95.795044"
"4","4","LYON CTY APTS - serving Marshall Municipal Utilities","9","44.44402530000001","-95.7874534"
"5","5","RIVERVIEW APTS","9","44.445702","-95.79247900000001"
"6","6","PARKVIEW APTS","13","44.446958","-95.785684"
"8","8","4TH & LYON - serving Post Office, Movie Theater, DMV,Wells Fargo Bank, Churches N ","15","44.4487821","-95.78887700000001"
"9","9","N 4TH & DARLENE DR","17","44.4582059","-95.78006099999999"
"10","10","VILLAGE DRIVE - serving Wedgewood, J&J Apts ","19","44.455094","-95.76940209999998"
"11","11","WINDSONG APTS ","20","44.4532604","-95.7703884"
"12","12","BIRCHWOOD APTS - serving Sunrise, Fairview, Birchwood ","21","44.4535796","-95.76812749999999"
"13","13","SMSU APTS","22","44.4519266","-95.7630236"
"14","14","SMSU CONFERENCE CENTER","25","44.4532471","-95.76010819999999"
"15","15","SMSU APTS","27","44.4519266","-95.7630236"
"16","16","PETERSON ST - serving Halter Villa, Advanced Opportunities ","30","44.44847239999999","-95.76366100000001"
"17","17","RIVERWIND APTS","31","44.447724","-95.763867"
"18","18","MARSHALL SQUARE APTS","32","44.4473358","-95.7651639"
"19","19","SUSAN DRIVE - serving Runnings, Shopko, Culvers ","35","44.4358258","-95.76202219999999"
"20","20","WAL-MART","40","44.4322355","-95.7665222"
"21","21","HyVEE - serving Dollar Tree, Perkins, Brau Brothers","43","44.437656","-95.77854259999998"
"22","22","DOGWOOD AVE","45","44.4337999","-95.78392730000002"
